Description,Test_name,Records_flagged,perc_number_records(*)
Records with empty scientific name,.scientificName_empty,1212,8.16
Records with empty coordinates,.coordinates_empty,3101,20.89
Records with coordinates out-of-range,.coordinates_outOfRange,0,0
Records from a doubtful source,.basisOfRecords_notStandard,143,0.96
Records outside one or multiple reference countries,.coordinates_country_inconsistent,1745,11.75
Summary of all tests,.summary,6044,40.71
,,,
"(*) calculated in relation to total number of records, i.e. 14847 records",,,
