database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country,county,year
IDIGBIO_4223,protemiris conospermi,-30.43488,115.2469,9dbc221e-fca5-43a3-b3ca-c389413d1d6f,preservedspecimen,07/11/2004,western australia,5 km n of badgingerra,NA,10,"cassis, weirauch, tatarnic, symonds",australia,none,2004
IDIGBIO_4232,creontiades dilutus,-12.866667,132.833333,7788e04e-e030-420c-ab36-51d6d1ee6ec3,preservedspecimen,08/03/1973,northern territory,15 km e of mt. cahill,NA,10000,"upton, m.s.",australia,NA,1973
IDIGBIO_4245,creontiades dilutus,-32.833333,138.183333,a339fce7-5eb5-41ac-ae96-d03b10e23e3f,preservedspecimen,15/10/1968,south australia,melrose,NA,10000,"greenslade, p.j.m.",australia,NA,1968
IDIGBIO_4250,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,332f87dc-7348-498e-a1ae-9c2635ba6fd2,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_4251,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,47a255f4-8d0d-49ec-aee9-e66f077983f0,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_4268,ausejanus albisignatus,NA,NA,393b1bde-e418-478d-ad63-9e5e2d460ce0,preservedspecimen,2006,new south wales,myall lakes national park,NA,NA,"tatarnic, n",australia,NA,2006
IDIGBIO_4273,closterotomus,-40.989,147.058,6edfe706-92cf-424a-aa11-d0fca8e64cb8,preservedspecimen,19/03/2021,tasmania,stony head military training area: black rock point: hinterland to se,NA,1000,"forster, l.g.",australia,NA,2021
IDIGBIO_4282,carvalhoma parvum,-27.644167,153.063056,ba475d15-61a6-4f9e-be00-5f4ee9a51f30,preservedspecimen,01/07/2003,queensland,"illaweena st, drewvale",NA,NA,NA,australia,NA,2003
IDIGBIO_4293,creontiades dilutus,-15.76667,128.733307,d0af0bb7-0688-461d-89f0-64e2833eea20,preservedspecimen,02/11/1967,western australia,kununurra (general),NA,10000,"shedley, d.g.",australia,NA,1967
IDIGBIO_4303,leptoglossus gonagra,-19.566669,147.399994,c6d6b436-cbc7-4174-93f8-a4fe2c9a4426,preservedspecimen,08/06/1959,queensland,"lower burdekin exp. stn., ayr",NA,10000,"campbell, t.g.",australia,NA,1959
IDIGBIO_4305,pulvillophylus rossi,-31.62314,117.64027,40d5dea7-c375-4b12-9d70-0b3a70118723,preservedspecimen,15/09/1962,western australia,5 mi w of kellerberrin,NA,NA,e.s. ross & d.q. cavagnaro,australia,NA,1962
IDIGBIO_4306,melaleucaphylus glomeratae,-23.53956,133.8807,ba73ec88-3ac7-4a1c-8085-d254385930b2,preservedspecimen,28/10/1962,northern territory,11 mi n of alice springs,NA,NA,ross and cavagnaro,australia,NA,1962
IDIGBIO_4307,chimsunchartella schwartzi,-27.90011,135.81468,d44615e2-b988-49ca-9225-1b023b1b627c,preservedspecimen,10/05/1953,south australia,neales river at algebuckina,NA,NA,r.a. stirton & r.h. tedford,australia,NA,1953
