database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,coordinatePrecision,recordedBy,country,county,year
GBIF_50,Miridae,-35.8438,137.948267,4893815029,PRESERVED_SPECIMEN,25/01/2006,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2006
GBIF_51,Miridae,-35.8438,137.948267,4893814590,PRESERVED_SPECIMEN,16/02/2007,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2007
GBIF_52,Miridae,-35.8438,137.948267,4893814544,PRESERVED_SPECIMEN,31/12/2007,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2007
GBIF_53,Miridae,-35.8438,137.948267,4893814165,PRESERVED_SPECIMEN,23/09/2001,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2001
GBIF_54,Miridae,-35.8438,137.948267,4893814160,PRESERVED_SPECIMEN,29/12/2005,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2005
GBIF_55,Miridae,-35.8438,137.948267,4893814106,PRESERVED_SPECIMEN,17/02/2007,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2007
GBIF_56,Miridae,-35.8379,137.9464,4893813860,PRESERVED_SPECIMEN,13/10/2002,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2002
GBIF_58,Miridae,-35.843117,136.748533,4893813181,PRESERVED_SPECIMEN,24/01/2021,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2021
GBIF_59,Miridae,-34.96864,138.634184,4893813100,PRESERVED_SPECIMEN,19/11/2002,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2002
GBIF_60,Miridae,-35.7313,137.580167,4893812719,PRESERVED_SPECIMEN,04/08/2021,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2021
GBIF_61,Miridae,-35.8438,137.948267,4893812494,PRESERVED_SPECIMEN,28/12/2003,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2003
GBIF_63,Miridae,-33.761181,140.123523,4893810927,PRESERVED_SPECIMEN,29/11/2003,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2003
GBIF_65,Miridae,-35.8438,137.948267,4893808611,PRESERVED_SPECIMEN,31/12/2007,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2007
GBIF_66,Miridae,-35.8438,137.948267,4893807192,PRESERVED_SPECIMEN,10/04/2007,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2007
GBIF_67,Miridae,-35.7313,137.580167,4893806678,PRESERVED_SPECIMEN,04/08/2021,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2021
GBIF_68,Miridae,-35.8438,137.948267,4893806394,PRESERVED_SPECIMEN,03/11/2006,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2006
GBIF_69,Miridae,-35.8438,137.948267,4893804619,PRESERVED_SPECIMEN,16/09/2006,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2006
GBIF_70,Miridae,-35.8453,137.9454,4893804447,PRESERVED_SPECIMEN,25/11/2003,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2003
GBIF_71,Miridae,-35.978226,137.181205,4893803249,PRESERVED_SPECIMEN,27/03/2007,South Australia,NA,NA,NA,NA,Young,NA,NA,2007
GBIF_72,Miridae,-35.838,137.946,4893802635,PRESERVED_SPECIMEN,22/04/2003,South Australia,NA,NA,NA,NA,Glatz,NA,NA,2003
GBIF_79,Miridae,-35.207589,149.14671,4893246637,HUMAN_OBSERVATION,2023-11-27T00:04,Australian Capital Territory,Franklin Grassland (FRA_5),MichaelMulvaney,NA,NA,Jennim,NA,NA,2023
GBIF_83,Miridae,-35.203628,149.14785,4893244364,HUMAN_OBSERVATION,2024-02-14T23:15,Australian Capital Territory,North Mitchell Grassland (NMG),MichaelMulvaney,NA,NA,Happywanderer,NA,NA,2024
