database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country,county,year
GBIF_1302,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863322498,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1303,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863322472,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1304,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863322471,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1305,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863322470,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1306,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863322469,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1307,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863322468,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1308,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863322467,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1309,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863322466,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1310,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863322464,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1311,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863322463,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1312,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863322462,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1313,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863322461,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1314,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863322460,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1315,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863322459,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1316,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863322458,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1317,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863322457,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1318,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863322370,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1319,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863322369,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1320,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863322368,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1321,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863322367,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1322,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863322366,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1323,"Poppiolygus Yasunaga, Schwartz & Chérot, 2018",12.35361,121.06666,2863321494,PRESERVED_SPECIMEN,1945-03-17,Occidental Mindoro,San Jose,M.D. Schwartz,NA,[E.S.] Ross & Skinner,NA,NA,1945
GBIF_1325,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863321486,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1326,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863321485,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
