datasetName,fileName,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,country,stateProvince,county,locality,identifiedBy,coordinateUncertaintyInMeters,coordinatePrecision,recordedBy
GBIF,C:\Users\kendr\OneDrive - National University of Singapore\NUS Documents\FYP\R codes\gbif_occ.csv,scientificName,decimalLatitude,decimalLongitude,gbifID,basisOfRecord,eventDate,NA,stateProvince,NA,locality,identifiedBy,coordinateUncertaintyInMeters,coordinatePrecision,recordedBy
IDIGBIO,C:\Users\kendr\OneDrive - National University of Singapore\NUS Documents\FYP\R codes\idigbio_occurrence.csv,dwc:scientificName,dwc:decimalLatitude,dwc:decimalLongitude,coreid,dwc:basisOfRecord,dwc:eventDate,dwc:country,dwc:stateProvince,dwc:county,dwc:locality,NA,dwc:coordinateUncertaintyInMeters,NA,dwc:recordedBy
